dopant_host_charge_mismatch,dopant_concentration,temperature_K,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData maximum MendeleevNumber,MagpieData maximum Electronegativity,MagpieData mean SpaceGroupNumber,frac_Sb,frac s valence electrons,dopant_host_radius_mismatch,target_value
0.0,0.1,300.0,0.5,29.388916666649997,90.0,2.1,169.9,0.225,0.1178451178451178,0.2699999999999999,85.0
0.0,0.0,300.0,0.5,29.35416666665,90.0,2.1,173.75,0.25,0.1206896551724138,0.2699999999999999,360.0
0.0,0.03,300.0,0.5,29.364591666649996,90.0,2.1,172.595,0.2425,0.1198219787743923,0.2699999999999999,110.0
0.0,0.05,300.0,0.5,29.371541666649996,90.0,2.1,171.825,0.2375,0.1192504258943781,0.2699999999999999,202.0
0.0,0.07,300.0,0.5,29.37849166665,90.0,2.1,171.055,0.2325,0.1186842997626314,0.2699999999999999,126.0
0.0,0.1,300.0,0.5,29.388916666649997,90.0,2.1,169.9,0.225,0.1178451178451178,0.2699999999999999,85.0
0.0,0.02,620.0,0.4975124378109453,29.445323383067663,90.0,2.1,173.6616915422886,0.2487562189054726,0.1211286992429456,0.1300000000000001,250.0
0.0,0.01,300.0,0.5,29.38644999998325,90.0,2.1,173.76,0.25,0.1208981001727115,0.1300000000000001,120.0
0.0,0.02,300.0,0.5,29.418733333316496,90.0,2.1,173.77,0.25,0.1211072664359861,0.1300000000000001,100.0
0.0,0.01,300.0,0.4975124378109453,29.41320066333309,90.0,2.1,173.65174129353233,0.2487562189054726,0.1209206458261765,0.1300000000000001,180.0
0.0,0.02,300.0,0.4975124378109453,29.445323383067663,90.0,2.1,173.6616915422886,0.2487562189054726,0.1211286992429456,0.1300000000000001,220.0
0.0,0.5,300.0,0.893491124260355,29.181282051265377,90.0,2.1,172.80769230769232,0.0576923076923076,0.1209876543209876,0.2699999999999999,274.0
1.0,0.04,300.0,0.5149999999999999,29.268616666649997,90.0,2.1,174.34,0.24,0.1207729468599033,0.03,188.0
1.0,0.0,300.0,0.5,29.35416666665,90.0,2.1,173.75,0.25,0.1206896551724138,0.03,119.0
1.0,0.04,300.0,0.5149999999999999,29.268616666649997,90.0,2.1,174.34,0.24,0.1207729468599033,0.03,188.0
1.0,0.06,300.0,0.5224999999999999,29.22584166665,90.0,2.1,174.635,0.235,0.1208146358301691,0.03,130.0
1.0,0.08,300.0,0.53,29.18306666665,90.0,2.1,174.93,0.23,0.1208563535911602,0.03,120.0
0.0,0.03,298.0,0.5,29.19430416665,90.0,2.1,173.95999999999998,0.2425,0.1210653753026634,0.15,325.0
0.0,0.03,298.0,0.5,29.19430416665,90.0,2.1,173.95999999999998,0.2425,0.1210653753026634,0.15,325.0
0.0,0.03,300.0,0.5225000000000001,29.299416666649996,90.0,2.1,173.5475,0.2425,0.1208146358301691,0.0399999999999999,270.0
0.0,0.05,300.0,0.5375,29.26291666665,90.0,2.1,173.4125,0.2375,0.1208981001727115,0.0399999999999999,230.0
0.0,0.07,300.0,0.5525000000000001,29.226416666649996,90.0,2.1,173.2775,0.2325,0.1209816799170411,0.0399999999999999,210.0
0.0,0.03,300.0,0.5225000000000001,29.299416666649996,90.0,2.1,173.5475,0.2425,0.1208146358301691,0.0399999999999999,270.0
0.0,0.05,300.0,0.5375,29.26291666665,90.0,2.1,173.4125,0.2375,0.1208981001727115,0.0399999999999999,230.0
0.0,0.07,300.0,0.5525000000000001,29.226416666649996,90.0,2.1,173.2775,0.2325,0.1209816799170411,0.0399999999999999,210.0
1.0,0.01,300.0,0.50375,29.35847916665,90.0,2.1,173.6875,0.2475,0.120710467321952,0.07,70.0
1.0,0.03,300.0,0.5118412239251995,29.402267116987737,90.0,2.1,173.43932949712286,0.2451838879159369,0.1208252829147115,0.07,209.0
1.0,0.03,543.0,0.5118412239251995,29.402267116987737,90.0,2.1,173.43932949712286,0.2451838879159369,0.1208252829147115,0.07,300.0
1.0,0.05,300.0,0.5212465855879294,29.464317876327367,90.0,2.1,173.0992943548387,0.2419354838709677,0.1209753047827446,0.07,145.0
1.0,0.07,300.0,0.5276405169327995,29.489056795115108,90.0,2.1,172.92697768762676,0.2383367139959432,0.1210427003983507,0.07,101.6
1.0,0.03,543.0,0.5112500000000002,29.36710416665,90.0,2.1,173.5625,0.2425,0.1207521131619803,0.07,300.0
1.0,0.01,300.0,0.50375,29.35847916665,90.0,2.1,173.6875,0.2475,0.120710467321952,0.07,70.0
1.0,0.03,300.0,0.5112500000000002,29.36710416665,90.0,2.1,173.5625,0.2425,0.1207521131619803,0.07,280.0
1.0,0.05,300.0,0.51875,29.375729166649997,90.0,2.1,173.4375,0.2375,0.1207937877480586,0.07,120.0
1.0,0.07,300.0,0.52625,29.38435416665,90.0,2.1,173.3125,0.2325,0.1208354911099602,0.07,110.0
0.0,0.0,336.0,0.5,29.35416666665,90.0,2.1,173.75,0.25,0.1206896551724138,0.2299999999999997,330.0
1.0,0.02,303.0,0.50745,29.23524166665,90.0,2.1,174.34,0.24,0.1205526770293609,0.42,270.7
1.0,0.04,323.0,0.5218682705873617,24.817363184079607,89.0,2.55,104.5771144278607,0.2388059701492537,0.1209621993127147,0.19,90.0
0.0,0.25,300.0,0.4733727810650888,32.359743589723074,90.0,2.1,161.92307692307693,0.3076923076923077,0.1256281407035175,0.0,15.384615384615383
0.0,0.3,300.0,0.477502295684114,32.116868686848484,90.0,2.1,162.87878787878788,0.303030303030303,0.125248508946322,0.0,45.45454545454546
0.0,0.35,300.0,0.4811762085096903,31.881243781074623,90.0,2.1,163.80597014925374,0.2985074626865671,0.1248770894788594,0.0,55.55555555555555
0.0,0.4,300.0,0.4844290657439447,31.652549019588236,90.0,2.1,164.7058823529412,0.2941176470588235,0.1245136186770428,0.0,83.33333333333333
0.0,0.45,300.0,0.4872925855912623,31.430483091768114,90.0,2.1,165.57971014492753,0.2898550724637681,0.1241578440808469,0.0,100.0
1.0,0.03,300.0,0.946527777777778,32.477458333316754,95.0,2.96,152.79666666666668,0.0666666666666666,0.1271912846319747,0.2499999999999997,1443.0
1.0,0.03,300.0,0.8778125000000001,31.70410416665013,95.0,2.96,155.945,0.1,0.1241413556236034,0.2499999999999997,685.0
